Komentar_Asli,Komentar_Labeling,Komentar_Bersih
"Bang mening Samsung a26 atau Vivo v50 litte 5G , bingung kamera depannya mening mana","Bang mening Samsung a26 atau Vivo v50 litte 5G , bingung kamera depannya mening mana",ning samsung a26 vivo v50 litte 5g bingung kamera depan ning mana
"Yang lubang 2 kecil bawah itu mic bang kayaknya , coba aja tutup solatip terus coba VN bang bisa atau ngga","Yang lubang 2 kecil bawah itu mic bang kayaknya , coba aja tutup solatip terus coba VN bang bisa atau ngga",lubang kecil bawah mic kayak coba tutup solatip terus coba vn ngga
"tapi aku pinjem punya temenku yg pake a57 mantep bener sampe awalnya aku kira seri S, mulus bgt refresh rate nya","tapi aku pinjem punya temenku yg pake a57 mantep bener sampe awalnya aku kira seri S, mulus bgt refresh rate nya",aku pinjem punya temenku pake a57 mantep bener sampe awal aku kira seri mulus banget refresh rate
Nonton ini pake hp samsung a50s wkwkwk,Nonton ini pake hp samsung a50s wkwkwk,nonton pake handphone samsung a50s wkwkwk
coba bikin Samsung A57 VS oppo reno 15 5g bang🙏,coba bikin Samsung A57 VS oppo reno 15 5g bang🙏,coba bikin samsung a57 vs oppo reno 15 5g
"Bayangin A55, A56, A57 😂","Bayangin A55, A56, A57 😂",bayangin a55 a56 a57
Lebih baik beli a57 atau s25fe,Lebih baik beli a57 atau s25fe,lebih baik beli a57 s25fe
samsung produk gak jelas...,samsung produk gak jelas...,samsung produk tidak jelas
"Masih makai galaxy a8 star sampai sekarang😢. Tiap type a5 baru yang lewat, selalu berharap ""kalau udah turun harga nanti mudah2an duitnya ada"", tapi belum kebeli juga sampai sekarang😅

Ini tipis banget, juga lebih ringan dikit dari a8 star ❤","Masih makai galaxy a8 star sampai sekarang😢. Tiap type a5 baru yang lewat, selalu berharap ""kalau udah turun harga nanti mudah2an duitnya ada"", tapi belum kebeli juga sampai sekarang😅 Ini tipis banget, juga lebih ringan dikit dari a8 star ❤",masih maka galaxy a8 star sampai sekarang tiap type a5 baru lewat selalu harap turun harga nanti mudah2an duit belum kebel juga sampai sekarang tipis banget juga lebih ringan dikit a8 star
Itu monster biru gambar apa si? Mau donlot buat wallpaper. Lucu,Itu monster biru gambar apa si? Mau donlot buat wallpaper. Lucu,monster biru gambar apa si mau donlot buat wallpaper lucu
Apa aku aj yg sampai sekarang pakek samsung a21,Apa aku aj yg sampai sekarang pakek samsung a21,apa aku aj sampai sekarang pakek samsung a21
11:59 la piro😂,11:59 la piro😂,11 59 la piro
"Mau beli SAMSUNG A57 
TAPI MIKIR2 BATRE NYA CUMA 5000 mAh
Mending SAMSUNG apa MOTOROLA g67 POWER ya
Motorola batre nya 7000 mah",Mau beli SAMSUNG A57 TAPI MIKIR2 BATRE NYA CUMA 5000 mAh Mending SAMSUNG apa MOTOROLA g67 POWER ya Motorola batre nya 7000 mah,mau beli samsung a57 mikir2 batre cuma 5000 mah mending samsung apa motorola g67 power motorola batre 7000 mah
Kalo updatenya tipis² mending A55 lah Ada microSDnya,Kalo updatenya tipis² mending A55 lah Ada microSDnya,updatenya tipis mending a55 lah microsdnya
Bang recomendasi hp lama yg masih worth it dong,Bang recomendasi hp lama yg masih worth it dong,recomendasi handphone lama masih bagus dong
"Skrng pake samsung a71, mau upgrade samsung lagi trauma krna greenline mana dulu ganti lcd mahal😢","Skrng pake samsung a71, mau upgrade samsung lagi trauma krna greenline mana dulu ganti lcd mahal😢",skrng pake samsung a71 mau upgrade samsung lagi trauma krna greenline mana dulu ganti lcd mahal
Nonton ini pakai a57 menurut ku oke aja sih ya walau ga ada peningkatan signifikan dari seri sebelum nya .,Nonton ini pakai a57 menurut ku oke aja sih ya walau ga ada peningkatan signifikan dari seri sebelum nya .,nonton pakai a57 turut ku oke sih walau tidak tingkat signifikan seri belum
baru seminggu beli a57 udah dapet kendala baterai tiba2 drop 0% dan tidak bs di charge. ketika di charge hanya keluar logo petir saja 😢,baru seminggu beli a57 udah dapet kendala baterai tiba2 drop 0% dan tidak bs di charge. ketika di charge hanya keluar logo petir saja 😢,baru minggu beli a57 dapet kendala baterai tiba2 drop tidak bs charge ketika charge hanya keluar logo petir
Awal nya henat battery tapi UI update terus kok makin boros cepet abis padahal hp ga ada game,Awal nya henat battery tapi UI update terus kok makin boros cepet abis padahal hp ga ada game,awal henat battery ui update terus kok makin boros cepet abis padahal handphone tidak game
Bang samsung yang murah apa,Bang samsung yang murah apa,samsung murah apa
Kalo resolusi hp ini 1.5k lgsg tak beli😊,Kalo resolusi hp ini 1.5k lgsg tak beli😊,resolusi handphone 5k lgsg tak beli
"saya udah pakai Samsung A24 hampir 4 tahun ,itu hp serius bagus banget tahan banting juga ,Samsung emang the bets🎉","saya udah pakai Samsung A24 hampir 4 tahun ,itu hp serius bagus banget tahan banting juga ,Samsung emang the bets🎉",pakai samsung a24 hampir tahun handphone serius bagus banget tahan banting juga samsung emang the bets
Baru beli A57 12/256 dapet harga 5.8 🥳🥳,Baru beli A57 12/256 dapet harga 5.8 🥳🥳,baru beli a57 12 256 dapet harga
Bang David bilang samsung yg dulu. Dulu yg bagus seri a5 brp bang ?,Bang David bilang samsung yg dulu. Dulu yg bagus seri a5 brp bang ?,david bilang samsung dulu dulu bagus seri a5 brp
"apakah A77  sudah keluar di pasaran,,  bisakah rivew dan bandingkan dengan A57","apakah A77 sudah keluar di pasaran,, bisakah rivew dan bandingkan dengan A57",apakah a77 keluar pasar bisa rivew banding a57
"masih setia di samsung A34 5g yang keluar di tahun 2023, dan updatenya akan habis tahun depan yaitu di 2027, enak bet pake samsung update nya panjaaang","masih setia di samsung A34 5g yang keluar di tahun 2023, dan updatenya akan habis tahun depan yaitu di 2027, enak bet pake samsung update nya panjaaang",masih setia samsung a34 5g keluar tahun 2023 updatenya akan habis tahun depan yaitu 2027 enak bet pake samsung update panjaaang
Ini tp samsung s25 fe itu harganya gak 8jutaan lg yak,Ini tp samsung s25 fe itu harganya gak 8jutaan lg yak,samsung s25 fe harga tidak 8jutaan lg yak
"Motorola, iqoo bgmn ko ?","Motorola, iqoo bgmn ko ?",motorola iqoo bgmn ko
apalah dayaku masii make yang a54😢,apalah dayaku masii make yang a54😢,apa daya masii make a54
"Masih bingung beli yang mana antara 
Edge 60 fusion
A57
Camon 50 pro 
Buat konten mancing",Masih bingung beli yang mana antara Edge 60 fusion A57 Camon 50 pro Buat konten mancing,masih bingung beli mana antara edge 60 fusion a57 camon 50 pro buat konten mancing
"padah teknologi layar punya, pabrik senidri malah batre apalagi, tapi pas ngeluarin produk kgk di pake semua itu keunggulan harga murah karna punya pabrik sendiri, kayak terlalu ngandelin merk sama aftersales kaya honda di motor jatohnya 
spek tenggelem harga tinggi","padah teknologi layar punya, pabrik senidri malah batre apalagi, tapi pas ngeluarin produk kgk di pake semua itu keunggulan harga murah karna punya pabrik sendiri, kayak terlalu ngandelin merk sama aftersales kaya honda di motor jatohnya spek tenggelem harga tinggi",padah teknologi layar punya pabrik senidri malah batre apalagi pas ngeluarin produk kgk pake semua unggul harga murah karna punya pabrik sendiri kayak terlalu ngandelin merk sama aftersales kaya honda motor jatohnya spesifikasi tenggelem harga tinggi
"Kebanyakan yang komen ga lihat review nya bang david, tapi muja muja hp nya wkwkwkwwk, padahal udah dibilang ga ada inovasi","Kebanyakan yang komen ga lihat review nya bang david, tapi muja muja hp nya wkwkwkwwk, padahal udah dibilang ga ada inovasi",banyak komen tidak lihat review david muja muja handphone wkwkwkwwk padahal bilang tidak inovasi
samsung yang ada lubang headset kabel samsung apa ya?,samsung yang ada lubang headset kabel samsung apa ya?,samsung lubang headset kabel samsung apa
Brpa hrga nya kk,Brpa hrga nya kk,brpa hrga kk
Samsung itu Green siber di lcd nya selalu menghantui😢,Samsung itu Green siber di lcd nya selalu menghantui😢,samsung green siber lcd selalu hantu
"Mau beli nih ada vocer jdi 6.5jt 8/256 rekomendasi kan ,?","Mau beli nih ada vocer jdi 6.5jt 8/256 rekomendasi kan ,?",mau beli nih vocer jdi 5jt 256 rekomendasi kan
Bg poco m8 pro🙏,Bg poco m8 pro🙏,bg poco m8 pro
"Hoky banget sih di awal rilis sya dapat A56 di Ram 8/256 dgn harga 5,3jt ❤ udah 1th masih joss gak ada kendala 😊","Hoky banget sih di awal rilis sya dapat A56 di Ram 8/256 dgn harga 5,3jt ❤ udah 1th masih joss gak ada kendala 😊",hoky banget sih awal rilis sya dapat a56 ram 256 dgn harga 3jt 1th masih joss tidak kendala
Berarti saingannya A57 itu samsung flagship FE tahun lalu 😂,Berarti saingannya A57 itu samsung flagship FE tahun lalu 😂,arti saing a57 samsung flagship fe tahun lalu
A51 nyimak,A51 nyimak,a51 nyimak
"Saya pengguna samsung dari jaman J2 sampe sekarang pake samsung A56 buat penggunaan pribadi  sama pake A15 buat kerja, samsung hp yang serba aman sih menurut saya bukan yang paling bagus tapi cukup aman buat di pake apa aja.","Saya pengguna samsung dari jaman J2 sampe sekarang pake samsung A56 buat penggunaan pribadi sama pake A15 buat kerja, samsung hp yang serba aman sih menurut saya bukan yang paling bagus tapi cukup aman buat di pake apa aja.",guna samsung jaman j2 sampe sekarang pake samsung a56 buat guna pribadi sama pake a15 buat kerja samsung handphone serba aman sih turut bukan paling bagus cukup aman buat pake apa
Aku yg masih nonton pake a52...cuma bisa elus dada dulu,Aku yg masih nonton pake a52...cuma bisa elus dada dulu,aku masih nonton pake a52 cuma elus dada dulu
"Ka KLO habis review hp,hpnya dikemanain??😂bt aku aja ka😂","Ka KLO habis review hp,hpnya dikemanain??😂bt aku aja ka😂",ka klo habis review handphone hpnya dikemanain bt aku ka
samsung a77 lebih bafus,samsung a77 lebih bafus,samsung a77 lebih bafus
"Brand Samsung itu PEMBOHONG ULUNG dan suka NUTUP-NUTUPIN sesuatu dari produknya.
.
Bohong tentang harga, dulu saya dapet A52s harganya 5.6 jt tuh. Padahal harga resminya waktu itu 6.1 jt. Ini saya baru check out Galaxy A57 8/256 diharga 6.086
.
Nutup2in fitur, gak pernah gembar-gembor bisa ini bisa itu, punya ini-punya itu. Pas dipake, lho kok bisa dipake gini, lho ternyata punya fitur ini, eh punya fitur itu juga.","Brand Samsung itu PEMBOHONG ULUNG dan suka NUTUP-NUTUPIN sesuatu dari produknya. . Bohong tentang harga, dulu saya dapet A52s harganya 5.6 jt tuh. Padahal harga resminya waktu itu 6.1 jt. Ini saya baru check out Galaxy A57 8/256 diharga 6.086 . Nutup2in fitur, gak pernah gembar-gembor bisa ini bisa itu, punya ini-punya itu. Pas dipake, lho kok bisa dipake gini, lho ternyata punya fitur ini, eh punya fitur itu juga.",brand samsung bohong ulung suka nutup nutupin sesuatu produk bohong tentang harga dulu dapet a52s harga jt tuh padahal harga resmi waktu jt baru check out galaxy a57 256 harga 086 nutup2in fitur tidak pernah gembar gembor punya punya pas dipake lho kok dipake gin lho nyata punya fitur eh punya fitur juga
"rekomendasi dong hp 2-3jtaan, dari brand samsung/Infinix/xiaomi, brand lain gapernah pakai jadi kaya kurang tertarik gitu","rekomendasi dong hp 2-3jtaan, dari brand samsung/Infinix/xiaomi, brand lain gapernah pakai jadi kaya kurang tertarik gitu",rekomendasi dong handphone 3jtaan brand samsung infinix xiaomi brand lain gapernah pakai jadi kaya kurang tarik gitu
Semoga samsung seri A  kedepan nya buat yg compek ya minimal 6.5 inc,Semoga samsung seri A kedepan nya buat yg compek ya minimal 6.5 inc,moga samsung seri depan buat compek minimal inc
A5 2017 terbaik,A5 2017 terbaik,a5 2017 baik
Nunggu A27,Nunggu A27,nunggu a27
Masih nntn video ini pake A51 🥹,Masih nntn video ini pake A51 🥹,masih nntn video pake a51
Pecandu samsung,Pecandu samsung,candu samsung
Bang wallpaper nya pake apa bagus,Bang wallpaper nya pake apa bagus,wallpaper pake apa bagus
A57 512gb nanti sampe indonesia gak?,A57 512gb nanti sampe indonesia gak?,a57 512gb nanti sampe indonesia tidak
Nonton sambil pake sepuh s10+ tahun 2019,Nonton sambil pake sepuh s10+ tahun 2019,nonton sambil pake sepuh s10 tahun 2019
masih pake A51 nontonnya 😂,masih pake A51 nontonnya 😂,masih pake a51 nontonnya
Nih HP ga berani di compare sama Motorola Edge 60 pro 😅😅,Nih HP ga berani di compare sama Motorola Edge 60 pro 😅😅,nih handphone tidak berani compare sama motorola edge 60 pro
"Bg..
Mana Lebih Baik Samsung Galaxy A57 5G Sama Redmi Note 14 5G..
Mohon Penjelasannya Ya Bg..
Soalnya Samsung Galaxy A57 Mahal Kali..",Bg.. Mana Lebih Baik Samsung Galaxy A57 5G Sama Redmi Note 14 5G.. Mohon Penjelasannya Ya Bg.. Soalnya Samsung Galaxy A57 Mahal Kali..,bg mana lebih baik samsung galaxy a57 5g sama redmi note 14 5g mohon jelas bg soal samsung galaxy a57 mahal kali
Dari A50 sampe A57...paling  ok A55..berbobot spt tankmode elegan modul kamera nya..A57 ringan jadi spt hp kurang solid..apalagi kamera nya jd spt mode hp mainan..,Dari A50 sampe A57...paling ok A55..berbobot spt tankmode elegan modul kamera nya..A57 ringan jadi spt hp kurang solid..apalagi kamera nya jd spt mode hp mainan..,a50 sampe a57 paling ok a55 bobot spt tankmode elegan modul kamera a57 ringan jadi spt handphone kurang solid apalagi kamera jd spt mode handphone main
"nyaman tapi gak di apa apain layar garis tiba😂 masih oke jaman samsung note 5 ke bawah,","nyaman tapi gak di apa apain layar garis tiba😂 masih oke jaman samsung note 5 ke bawah,",nyaman tidak apa apain layar garis tiba masih oke jaman samsung note bawah
Bang kalo beli hp aman gaksi kalo online?,Bang kalo beli hp aman gaksi kalo online?,beli handphone aman gaksi online
A54 mana hayooo,A54 mana hayooo,a54 mana hayooo
nonton ini pake A57 😍,nonton ini pake A57 😍,nonton pake a57
"Perasaan buka kamera nyari resolusi video 4K nya gak ada samsek, info dong yang tau","Perasaan buka kamera nyari resolusi video 4K nya gak ada samsek, info dong yang tau",asa buka kamera nyari resolusi video 4k tidak samsek info dong tau
Agak overprice sih pdhl upgrade dr a56 ga bnyk.,Agak overprice sih pdhl upgrade dr a56 ga bnyk.,agak overprice sih pdhl upgrade a56 tidak bnyk
"Bang tapi FE ram nya sama-sama 8GB, sedangkan A57 12GB, jadi poin plus ga?","Bang tapi FE ram nya sama-sama 8GB, sedangkan A57 12GB, jadi poin plus ga?",fe ram sama sama 8gb sedang a57 12gb jadi poin plus tidak
Nunggu jaringan 6G saja lah 😂,Nunggu jaringan 6G saja lah 😂,nunggu jaring 6g lah
Gila emng persaigan perHPan gak ada habisnya😂😂,Gila emng persaigan perHPan gak ada habisnya😂😂,gila emng persaigan perhpan tidak habis
"11:59 la piroo lek, aku ra ruhh","11:59 la piroo lek, aku ra ruhh",11 59 la piroo lek aku ra ruhh
"Bentuk kamera 
Lebih suka yang  varian a55",Bentuk kamera Lebih suka yang varian a55,bentuk kamera lebih suka varian a55
gk jelas menye2,gk jelas menye2,tidak jelas menye2
Yang nonton pakai samsung A52☝️,Yang nonton pakai samsung A52☝️,nonton pakai samsung a52
Samsung s25 fe vs Samsung a57,Samsung s25 fe vs Samsung a57,samsung s25 fe vs samsung a57
Mending mana sama iphone 13 ?,Mending mana sama iphone 13 ?,mending mana sama iphone 13
Nunggu a58 siapa tau ada tambahan Slot Mikro SD,Nunggu a58 siapa tau ada tambahan Slot Mikro SD,nunggu a58 siapa tau tambah slot mikro sd
Ku baru ganti dr a54 naik ke A57 awet emang weii ini,Ku baru ganti dr a54 naik ke A57 awet emang weii ini,ku baru ganti a54 naik a57 awet emang weii
Kamera nya ko malah bagusan A56 ya ?,Kamera nya ko malah bagusan A56 ya ?,kamera ko malah bagus a56
Aaaaa gak ada habisnya,Aaaaa gak ada habisnya,aaaaa tidak habis
Kalo baku hantam sama Poco x8 pro menang mana bg...,Kalo baku hantam sama Poco x8 pro menang mana bg...,baku hantam sama poco x8 pro menang mana bg
"barusan lewat konten A58, bakal rilis di Indonesia ga yakk","barusan lewat konten A58, bakal rilis di Indonesia ga yakk",barusan lewat konten a58 bakal rilis indonesia tidak yakk
Siapa yang setuju bang David ambo Xing Tecno 50 pro 5G 🎉,Siapa yang setuju bang David ambo Xing Tecno 50 pro 5G 🎉,siapa tuju david ambo xing tecno 50 pro 5g
Lagi nonton pake samsung A57,Lagi nonton pake samsung A57,lagi nonton pake samsung a57
Masih setia sama samsung A71 WLAU GANTI LCD 3X😭,Masih setia sama samsung A71 WLAU GANTI LCD 3X😭,masih setia sama samsung a71 wlau ganti lcd 3x
"Nonton sambil pake A52s, masih oke aja ini hp 😅","Nonton sambil pake A52s, masih oke aja ini hp 😅",nonton sambil pake a52s masih oke handphone
"Di banding x8pro max, samsung unggul bagian apa ya?","Di banding x8pro max, samsung unggul bagian apa ya?",banding x8pro max samsung unggul bagi apa
"Bang, saya suka bgt nonton review2 nya detail dan informatif bgt, tapi tolong dong next ratio video nya dibikin panjang bisa ga.. jadi kalo saya nonton mode full screen ga kepotong tuh view atas dan bawhnya kayak contohnya channel sebelah tuh, infonesia, ferry channel, dll thx 🙏","Bang, saya suka bgt nonton review2 nya detail dan informatif bgt, tapi tolong dong next ratio video nya dibikin panjang bisa ga.. jadi kalo saya nonton mode full screen ga kepotong tuh view atas dan bawhnya kayak contohnya channel sebelah tuh, infonesia, ferry channel, dll thx 🙏",suka banget nonton review2 detail informatif banget tolong dong next ratio video bikin panjang tidak jadi nonton mode full screen tidak potong tuh view atas bawhnya kayak contoh channel belah tuh infonesia ferry channel dll thx
